date,Comilla,Sunamganj,Manikganj,Kishoreganj,Kushtia,Sirajganj,Jhenaidah,Rangamati,Chittagong,Nilphamari,Thakurgaon,Pabna,Rajshahi,Cox's Bazar,Sylhet,Tangail,Munshiganj,Chapainawabganj,Bagerhat,Feni,Maulvibazar,Chuadanga,Magura,Kurigram,Netrokona,Meherpur,Narsingdi,Pirojpur,Gopalganj,Mymensingh,Khulna,Jhalokati,Narayanganj,Lakshmipur,Khagrachhari,Jamalpur,Narail,Natore,Chandpur,Noakhali,Patuakhali,Jaipurhat,Gazipur,Rajbari,Sherpur,Unknown,Habiganj,Dhaka,Naogaon,Satkhira,Faridpur,Dinajpur,Shariatpur,Bandarban,Rangpur,Bogra,Madaripur,Brahmanbaria,Barguna,Barisal,Gaibandha,Jessore,Bhola,Lalmonirhat,Panchagarh
2020-06-11,9,0,1,0,4,2,0,0,15,1,1,2,6,0,3,0,2,0,2,0,2,3,4,0,0,0,2,1,0,6,5,2,10,1,0,0,0,0,1,7,1,1,10,1,0,412,3,96,2,2,3,2,0,2,1,2,0,1,0,4,1,2,0,0,0
2020-06-12,4,1,0,0,1,3,0,1,21,0,1,3,5,3,9,1,2,0,0,1,3,0,0,2,1,0,1,0,4,6,8,0,6,0,0,0,0,5,3,7,0,2,8,0,1,350,1,90,1,2,2,3,0,1,0,2,1,3,0,6,1,3,0,2,0
2020-06-13,3,1,1,2,3,1,3,0,10,1,0,1,4,1,4,1,6,1,3,3,2,0,0,2,1,0,0,1,0,0,8,0,6,1,0,5,0,0,2,3,0,1,4,0,0,374,0,93,0,0,6,0,0,1,3,2,2,4,0,1,0,3,0,2,0
2020-06-14,16,3,4,3,1,2,2,1,20,0,1,1,3,2,2,7,0,1,1,3,1,0,1,1,2,0,0,1,1,1,6,0,9,3,0,0,0,0,2,0,0,1,8,0,1,397,2,81,0,1,3,3,0,0,1,4,0,3,0,3,1,4,1,0,1
2020-06-15,17,0,1,5,1,10,0,0,23,0,0,2,7,1,3,0,3,0,0,2,2,0,1,2,1,0,1,2,0,1,2,2,3,0,0,2,0,1,7,4,0,0,16,1,0,377,3,82,0,3,1,0,0,0,2,1,0,6,0,2,2,3,1,0,0
2020-06-16,3,0,1,7,0,2,0,0,32,0,1,1,5,1,4,3,0,0,0,4,1,1,1,0,0,0,6,1,1,9,7,0,1,2,0,1,0,1,2,6,6,0,6,1,1,390,0,87,1,0,2,0,0,0,3,5,0,3,2,3,0,4,1,2,1
2020-06-17,5,0,0,0,7,8,0,0,10,2,0,3,2,3,6,1,0,0,1,3,0,0,0,1,0,0,1,0,0,5,1,3,4,8,1,1,1,3,2,1,0,0,5,0,0,353,1,63,3,0,2,1,0,0,2,5,0,3,0,5,2,1,1,0,0
2020-06-18,23,1,8,6,5,4,4,2,49,6,2,6,16,14,17,12,3,0,0,1,1,3,0,5,3,2,5,3,2,9,15,0,11,5,2,3,8,8,3,11,2,0,34,4,2,1018,1,251,5,1,8,5,5,3,5,23,3,7,2,8,10,12,4,4,2
2020-06-19,10,1,1,3,4,0,0,0,22,2,0,3,5,1,9,4,0,0,1,9,0,1,3,0,1,2,2,2,3,5,8,0,11,2,3,1,1,5,3,3,1,2,10,0,1,578,2,158,2,0,5,1,1,1,0,7,3,1,1,9,3,5,1,0,0
2020-06-20,3,1,2,1,5,2,1,2,10,5,1,6,2,1,6,7,4,0,0,7,0,3,0,1,0,0,3,0,1,11,8,1,13,1,0,2,0,1,3,2,1,0,5,0,0,462,2,123,0,1,0,1,0,0,3,6,4,0,3,8,3,3,1,1,0
2020-06-21,3,4,1,2,1,2,0,0,8,0,0,1,2,1,1,2,0,0,1,5,0,0,0,0,1,0,3,1,1,2,4,1,6,1,1,0,1,0,3,5,0,2,7,1,1,321,4,73,2,2,3,3,0,0,3,3,0,1,0,0,1,5,0,0,1
2020-06-22,9,1,1,3,6,2,0,0,12,1,0,3,4,0,6,3,0,0,1,3,0,2,0,5,1,0,1,0,0,6,0,1,5,0,2,3,0,4,1,5,2,6,9,0,0,314,4,83,1,1,1,1,0,0,1,4,2,2,0,0,2,6,0,0,0
2020-06-23,3,1,2,4,0,2,0,0,5,4,0,2,2,0,4,2,1,0,3,2,1,0,0,0,0,0,3,1,1,3,6,1,8,4,1,3,1,0,3,0,0,0,2,3,0,297,2,51,2,2,0,1,1,2,1,9,5,6,0,3,0,4,0,1,0
2020-06-24,4,2,1,1,2,2,0,1,8,0,0,3,3,1,4,1,1,0,1,0,1,0,0,1,1,0,7,0,0,3,1,1,8,0,1,1,0,2,1,0,1,0,3,1,0,278,0,90,1,1,3,3,1,2,5,2,1,3,0,1,1,3,1,1,0
